동,호,타입,대지비,건축비,부가가치세,분양가,1차계약금,1차계약금,중도금1회,중도금2회,중도금3회,중도금4회,중도금5회,중도금6회,잔금
101,1002,84B,"178,390,000","325,110,000",0,"503,500,000","10,000,000","40,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","151,050,000"
101,1102,84B,"178,390,000","325,110,000",0,"503,500,000","10,000,000","40,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","151,050,000"
101,1202,84B,"178,390,000","325,110,000",0,"503,500,000","10,000,000","40,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","151,050,000"
101,1302,84B,"178,390,000","325,110,000",0,"503,500,000","10,000,000","40,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","151,050,000"
101,1402,84B,"178,390,000","325,110,000",0,"503,500,000","10,000,000","40,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","151,050,000"
101,1502,84B,"178,390,000","325,110,000",0,"503,500,000","10,000,000","40,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","151,050,000"
101,1602,84B,"178,390,000","325,110,000",0,"503,500,000","10,000,000","40,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","151,050,000"
101,1702,84B,"178,390,000","325,110,000",0,"503,500,000","10,000,000","40,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","151,050,000"
101,1802,84B,"178,390,000","325,110,000",0,"503,500,000","10,000,000","40,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","151,050,000"
101,1902,84B,"178,390,000","325,110,000",0,"503,500,000","10,000,000","40,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","50,350,000","151,050,000"
101,2002,84B,"180,728,000","329,372,000",0,"510,100,000","10,000,000","41,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","153,030,000"
101,2102,84B,"180,728,000","329,372,000",0,"510,100,000","10,000,000","41,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","153,030,000"
101,2202,84B,"180,728,000","329,372,000",0,"510,100,000","10,000,000","41,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","51,010,000","153,030,000"
